"","model_id","fo_median","fo_cv","ffmsy_median","ffmsy_cv","bbmsy_median","bbmsy_cv","Bmsy","Fmsy","fmodel","qmodel","rmodel","stock"
"1",1,16868.3741000719,0.181840873583715,0.239004657346367,0.315847896464351,0.385867694467308,0.21814643315606,380990.17892419,0,"fmodel1","qmodel1","rmodel1","stk"
"2",2,13708.8604733609,0.177269556683955,0.206267952120691,0.373417721086511,0.655479900401503,0.203195917917861,85523.1312132945,0,"fmodel2","qmodel1","rmodel1","stk"
"3",3,16298.1220221763,0.190682681392504,0.4449154577805,0.311305799423887,3.01282223894808,0.204766284710547,39099.2755173775,0.159506153484282,"fmodel3","qmodel1","rmodel1","stk"
"4",4,6956.67321941283,0.178827347468818,1.23156316839734,0.481493652607796,0.258605386075836,0.321748914003268,NA,NA,"fmodel1","qmodel2","rmodel1","stk"
"5",5,10293.5446362704,0.188540684504613,3.16079360381176,0.392099880871306,0.635316004495479,0.371625644698702,61519.9512474617,0,"fmodel2","qmodel2","rmodel1","stk"
"6",6,27274.0434298926,0.234847527631127,0.27786283321083,0.335569911388467,2.14262919580977,0.215224905518868,23263.7225393373,0.190614598832098,"fmodel3","qmodel2","rmodel1","stk"
"7",7,13966.9927324585,0.182179935935719,0.203431715459207,0.365441942066705,0.653559305112681,0.205214362676226,58939.8997635681,0.183944075371358,"fmodel1","qmodel3","rmodel1","stk"
"8",8,25120.1001904185,0.276490442471869,0.442493700267992,0.327081214809298,2.03268194530262,0.226610020577429,87529.5696681954,0,"fmodel2","qmodel3","rmodel1","stk"
"9",9,26027.0056750107,0.423306364836463,17.5010943297111,0.382439713046917,3.39785101764923,0.214021153057885,64724.5555907229,0.152781742559282,"fmodel3","qmodel3","rmodel1","stk"
"10",10,17826.2869328031,0.257121735169144,1.16988985267481,0.394981252069215,0.134268278990776,0.278658970706932,22900.0404379369,0.0115371464183546,"fmodel1","qmodel1","rmodel2","stk"
"11",11,21401.1270126202,0.201878776298012,0.745338302313314,0.329266992140627,0.133080611280249,0.209444285655965,831259.48636849,0.0809655621472252,"fmodel2","qmodel1","rmodel2","stk"
"12",12,11045.7214126898,0.255537522358851,37.2830976591313,0.188152572298573,2.10432549104911,0.206112253002429,1293088.63826175,0.0688993443759175,"fmodel3","qmodel1","rmodel2","stk"
"13",13,8595.62203161119,0.31510845007158,14.7599570302696,0.599202247148142,0.169778754594221,0.372610625640835,19972.127691594,0.0095237873244688,"fmodel1","qmodel2","rmodel2","stk"
"14",14,7970.04408523982,0.20726121743572,3.02917902682294,0.48880750987891,0.969478254412692,0.325245564439516,139499.137663634,0.03627272363494,"fmodel2","qmodel2","rmodel2","stk"
"15",15,29783.8818107577,0.20750286785882,0.442771773207445,0.326039608984455,0.206300717084649,0.217893308985706,18201.7481596832,0.195755052366006,"fmodel3","qmodel2","rmodel2","stk"
"16",16,18796.2983761907,0.204611522382139,1.16935526668988,0.378702470710114,0.0977734417681677,0.228487225289961,767166.423023638,0.105731911293856,"fmodel1","qmodel3","rmodel2","stk"
"17",17,27204.7613395857,0.231606319336912,0.654023857963491,0.326558367797944,0.126838515740967,0.216015054375523,1220251.40480278,0.0781284989738888,"fmodel2","qmodel3","rmodel2","stk"
"18",18,21402.5078167202,0.203786315162395,0.91779982336239,0.32286201893107,0.0839466964158355,0.208343847362567,1343122.27952141,0.0863143063565183,"fmodel3","qmodel3","rmodel2","stk"
"19",19,17296.6653952065,0.174962765733162,1.3245761375558,0.444977060679156,0.226903689365087,0.361450399944855,NA,NA,"fmodel1","qmodel1","rmodel3","stk"
"20",20,26400.4184024091,0.391371379294054,1.19181236132568,0.378606864741925,6.68898365958785,0.211475793498248,NA,NA,"fmodel2","qmodel1","rmodel3","stk"
"21",21,34406.46959047,0.201307139790139,1.04376258563079,0.337404527032084,7.33447299249193,0.20243137937748,2063003.35624182,0.0562147883906112,"fmodel3","qmodel1","rmodel3","stk"
