"","year","data","what","model_id","fmodel","qmodel","rmodel","stock"
"64",1970,0.5519865,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"65",1971,0.60576675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"66",1972,0.46840075,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"67",1973,0.2392675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"68",1974,0.12414725,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"69",1975,0.106376425,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"70",1976,0.14369675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"71",1977,0.191087,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"72",1978,0.19588675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"73",1979,0.19373375,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"74",1980,0.23535675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"75",1981,0.3111215,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"76",1982,0.348868,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"77",1983,0.32947425,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"78",1984,0.30405875,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"79",1985,0.2806195,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"80",1986,0.24686225,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"81",1987,0.22994475,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"82",1988,0.26553575,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"83",1989,0.349061,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"84",1990,0.39437075,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"85",1991,0.34068175,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"86",1992,0.26246775,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"87",1993,0.20955325,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"88",1994,0.169601,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"89",1995,0.13469125,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"90",1996,0.11324525,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"91",1997,0.104744325,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"92",1998,0.098062975,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"93",1999,0.09143105,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"94",2000,0.099342075,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"95",2001,0.136196,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"96",2002,0.1876295,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"97",2003,0.19099825,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"98",2004,0.14643175,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"99",2005,0.11883275,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"100",2006,0.132122,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"101",2007,0.186221,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
